person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
amine_a,1,45738.0,40902.0,223496.0,122045.0,105076.0,25249.0,40565.0,42774.0,35317.0,32528.0,65.3,67.4,68.8,72.8,67.2,64.7,87
amine_a,2,45795.0,40892.0,223516.0,122112.0,104663.0,25262.0,40578.0,42793.0,35308.0,32578.0,65.3,67.3,68.7,72.8,67.2,64.7,87
amine_a,3,45766.0,40999.0,223517.0,122189.0,105399.0,25275.0,40578.0,42765.0,35335.0,32578.0,65.7,67.6,69.0,72.8,67.2,64.7,87
amine_a,4,45767.0,40978.0,223580.0,122130.0,105559.0,25296.0,40604.0,42756.0,35362.0,32571.0,65.7,67.6,69.0,72.8,67.2,64.7,87
amine_a,5,45776.0,41028.0,223630.0,122143.0,105426.0,25340.0,40677.0,42662.0,35343.0,32542.0,65.3,67.5,68.9,72.8,67.2,64.7,87
amine_a,6,45805.0,41048.0,223734.0,122196.0,106056.0,25356.0,40763.0,42643.0,35360.0,32512.0,65.7,67.8,69.2,72.9,67.2,64.7,87
amine_a,7,45843.0,40828.0,223798.0,122254.0,107161.0,25327.0,40806.0,42587.0,35361.0,32527.0,65.8,68.1,69.5,74.1,67.3,64.7,87
amine_a,8,45882.0,40605.0,223833.0,122210.0,107619.0,25313.0,40811.0,42606.0,35362.0,32512.0,65.5,68.2,69.6,74.0,67.3,64.7,87
amine_a,9,45901.0,40692.0,223811.0,122307.0,106208.0,25334.0,40798.0,42644.0,35371.0,32549.0,65.5,67.8,69.2,72.8,67.2,64.7,87
amine_a,10,45921.0,40970.0,223756.0,122289.0,104886.0,25370.0,40798.0,42672.0,35406.0,32571.0,65.2,67.4,68.8,72.8,67.2,64.7,87
amine_a,11,45940.0,41191.0,223819.0,122436.0,105317.0,25392.0,40828.0,42700.0,35424.0,32592.0,65.4,67.7,69.0,72.8,67.2,64.7,87
amine_a,12,45939.0,40793.0,223791.0,122357.0,106599.0,25377.0,40768.0,42756.0,35479.0,32549.0,65.5,68.0,69.4,73.9,67.2,64.7,87
amine_a,13,45948.0,40803.0,223812.0,122227.0,106767.0,25392.0,40806.0,42755.0,35452.0,32556.0,65.5,68.1,69.4,74.0,67.2,64.7,87
amine_a,14,45890.0,40852.0,223915.0,122219.0,106789.0,25405.0,40823.0,42848.0,35469.0,32585.0,65.5,68.1,69.5,74.0,67.2,64.7,87
amine_a,15,45930.0,41316.0,224000.0,122219.0,106700.0,25412.0,40879.0,42811.0,35441.0,32663.0,65.5,68.3,69.6,74.0,67.2,64.7,87
amine_a,16,45922.0,41143.0,224014.0,122384.0,107002.0,25397.0,40905.0,42839.0,35460.0,32628.0,65.5,68.4,69.7,74.0,97.3,64.7,87
amine_a,17,45912.0,41164.0,224092.0,122437.0,106439.0,25406.0,40922.0,42848.0,35505.0,32614.0,65.5,68.2,69.5,72.8,67.2,64.7,87
amine_a,18,45950.0,41115.0,224147.0,122614.0,106528.0,25413.0,40914.0,42885.0,35541.0,32643.0,65.5,68.3,69.5,73.9,67.2,64.7,87
amine_a,19,45998.0,41308.0,224246.0,122711.0,106829.0,25420.0,40884.0,42923.0,35549.0,32671.0,65.8,68.5,69.7,74.0,97.2,64.6,87
amine_a,20,46027.0,41036.0,224210.0,122755.0,108232.0,25485.0,40849.0,42923.0,35567.0,32699.0,66.3,68.9,70.2,74.9,97.2,65.9,87
amine_a,21,46018.0,41048.0,224328.0,122643.0,107628.0,25470.0,40858.0,42933.0,35567.0,32642.0,66.3,68.7,70.0,74.9,97.2,65.9,87
amine_a,22,45997.0,40702.0,224335.0,122514.0,107792.0,25463.0,40905.0,42961.0,35595.0,32678.0,66.3,68.6,69.9,74.9,97.3,65.9,87
amine_a,23,46036.0,40973.0,224433.0,122443.0,107672.0,25434.0,40913.0,42951.0,35613.0,32671.0,66.3,68.6,70.0,74.9,97.3,65.9,87
amine_a,24,46045.0,41030.0,224469.0,122640.0,108592.0,25463.0,40931.0,42932.0,35614.0,32706.0,66.3,69.0,70.3,74.1,97.2,65.9,87
