person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
amine_b,1,35458.0,35317.0,215702.0,117490.0,101895.0,29387.0,41974.0,38860.0,36253.0,27585.0,64.4,59.5,62.7,60.4,63.3,62.6,87
amine_b,2,35507.0,35617.0,215765.0,117628.0,102734.0,29380.0,41992.0,38991.0,36289.0,27658.0,64.5,59.9,63.1,60.4,63.3,62.8,87
amine_b,3,35534.0,35597.0,215758.0,117722.0,103453.0,29371.0,41966.0,39037.0,36245.0,27679.0,64.5,60.2,63.4,60.4,63.3,62.8,87
amine_b,4,35554.0,35644.0,215787.0,117869.0,103595.0,29428.0,41975.0,39047.0,36209.0,27722.0,64.5,60.3,63.5,59.7,63.3,63.5,87
amine_b,5,35562.0,35518.0,215843.0,117913.0,103337.0,29428.0,41983.0,39028.0,36200.0,27679.0,64.5,60.1,63.4,60.4,63.3,63.5,87
amine_b,6,35534.0,35758.0,216004.0,117766.0,103400.0,29423.0,41953.0,38981.0,36264.0,27708.0,63.8,60.2,63.4,60.4,63.3,61.8,87
amine_b,7,35496.0,35875.0,216130.0,117811.0,103671.0,29430.0,42009.0,38991.0,36292.0,27679.0,63.8,60.3,63.6,59.7,63.3,61.8,87
amine_b,8,35478.0,35818.0,216144.0,118029.0,103858.0,29451.0,41987.0,38953.0,36265.0,27622.0,63.8,60.4,63.6,59.7,63.3,61.9,87
amine_b,9,35545.0,35809.0,216102.0,118229.0,103826.0,29508.0,42047.0,39028.0,36228.0,27615.0,63.8,60.4,63.6,59.7,63.3,61.9,87
amine_b,10,35565.0,35770.0,216081.0,118420.0,103919.0,29501.0,42035.0,39038.0,36182.0,27628.0,63.8,60.5,63.7,60.4,63.3,61.9,87
amine_b,11,35565.0,35817.0,216094.0,118144.0,103835.0,29515.0,42017.0,39094.0,36200.0,27713.0,63.8,60.5,63.7,59.7,63.3,61.9,87
