person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
franciska_a,1,50894,40458,224862,121791,120908,55289,51071,46682,42847,25096,66.6,79.1,73.7,61.9,64.8,66.4,79
franciska_a,2,50931,40555,224966,121835,120370,55310,51123,47093,42821,25161,66.6,79.1,73.7,61.9,64.8,66.4,79
franciska_a,3,50903,40604,224911,122040,119970,55320,50977,47214,42874,25182,66.6,79.1,73.7,61.9,64.8,66.3,79
franciska_a,4,50923,40837,225206,122258,119557,55429,51222,47065,42794,25219,66.6,79.1,73.6,61.9,64.8,66.3,79
franciska_a,5,50952,41039,225472,122582,119562,55429,51480,46692,42874,25212,66.6,79.2,73.5,61.8,64.8,66.3,79
franciska_a,6,51067,41231,225661,122670,119367,55507,51979,45956,42920,25191,66.6,79.0,73.2,59.8,64.8,66.3,79
franciska_a,7,51192,41356,225611,122638,119007,55500,52301,44771,42974,25154,63.7,78.6,72.7,59.8,64.6,64.0,79
franciska_a,8,51183,41394,225751,122794,119433,55545,52254,44361,43029,25147,66.6,78.6,72.7,59.8,64.7,66.3,79
franciska_a,9,51202,41328,225757,122674,120494,55573,52052,44733,43038,25197,66.6,79.1,73.2,59.8,64.8,66.2,79
franciska_a,10,51183,41097,225653,122741,120357,55571,51983,45955,43075,25212,66.5,79.5,73.6,59.8,64.8,66.3,79
franciska_a,11,51163,40895,225680,122629,120645,55583,51914,46831,43102,25278,66.6,79.8,74.0,62.4,64.9,66.5,79
franciska_a,12,51163,40944,225701,122629,120632,55590,52001,47027,43183,25313,66.6,80.0,74.1,62.4,64.9,66.5,79
franciska_a,13,51192,41194,225918,122656,121782,55607,52099,46160,43327,25363,66.6,80.3,74.2,60.4,64.9,66.4,79
franciska_a,14,51250,41367,226079,122514,121875,55701,52439,45535,43409,25376,66.6,80.2,74.1,60.4,64.9,66.4,79
franciska_a,15,51327,41482,226289,122835,121977,55730,52685,44622,43391,25361,66.5,80.1,73.8,59.8,64.8,66.4,79
franciska_a,16,51328,41406,226115,122941,121533,55768,52706,44995,43382,25275,66.5,80.1,73.8,59.8,64.8,66.4,79
franciska_a,17,51387,41359,226212,122941,121267,55796,52801,45051,43282,25268,66.6,80.0,73.7,59.8,64.8,66.4,79
franciska_a,18,51261,41407,226248,122932,121316,55818,52706,45265,43364,25233,66.5,80.0,73.8,59.8,64.8,66.4,79
