person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
franciska_c,1,47851.0,41685.0,230841.0,118915.0,121655.0,58973.0,52269.0,44483.0,43545.0,24703.0,66.8,78.2,73.3,59.9,64.0,66.3,79
franciska_c,2,47803.0,41635.0,230855.0,118933.0,122205.0,58959.0,52303.0,44333.0,43689.0,24703.0,66.8,78.4,73.4,59.9,64.1,66.3,79
franciska_c,3,47909.0,41664.0,231065.0,119012.0,121885.0,58980.0,52411.0,44352.0,43616.0,24724.0,66.8,78.4,73.3,59.8,64.0,66.3,79
franciska_c,4,47928.0,41627.0,231135.0,118732.0,122094.0,59001.0,52463.0,44361.0,43796.0,24746.0,66.8,78.4,73.4,59.8,64.0,66.3,79
franciska_c,5,47928.0,41657.0,231267.0,118723.0,122147.0,59023.0,52488.0,44463.0,43670.0,24710.0,66.8,78.5,73.5,59.8,64.1,66.3,79
franciska_c,6,47986.0,41696.0,230687.0,118662.0,123151.0,59023.0,52471.0,44557.0,43815.0,24717.0,68.3,79.0,73.9,88.1,64.1,67.7,79
franciska_c,7,47939.0,41696.0,231065.0,118924.0,123404.0,59016.0,52424.0,44576.0,43851.0,24688.0,68.3,79.1,74.0,88.3,64.1,67.7,79
franciska_c,8,48141.0,41696.0,231002.0,119004.0,123426.0,58994.0,52549.0,44585.0,43498.0,24781.0,68.2,79.2,74.0,88.3,64.1,67.7,79
franciska_c,9,48170.0,41734.0,230939.0,118680.0,122409.0,59019.0,52531.0,44538.0,43481.0,24774.0,66.8,78.7,73.6,85.0,64.1,66.3,79
franciska_c,10,48180.0,41732.0,230695.0,118653.0,123009.0,59004.0,52579.0,44538.0,43797.0,24846.0,66.8,79.0,73.8,85.0,64.1,66.3,79
franciska_c,11,48141.0,41837.0,230722.0,118965.0,122663.0,59011.0,52575.0,44576.0,44248.0,24796.0,66.8,79.1,73.8,85.0,64.1,66.3,79
franciska_c,12,48025.0,41790.0,230464.0,119648.0,123289.0,58994.0,52583.0,44679.0,44500.0,24810.0,68.3,79.5,74.1,88.3,64.1,67.7,79
franciska_c,13,48064.0,41782.0,230401.0,120034.0,123568.0,59044.0,52669.0,44586.0,44473.0,24803.0,68.3,79.7,74.2,88.3,64.1,67.7,79
franciska_c,14,47996.0,41754.0,230317.0,119554.0,124190.0,59072.0,52794.0,44548.0,44102.0,24810.0,68.3,79.8,74.3,86.3,64.1,67.7,79
