person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
ignas_b,1,46633.0,57839.0,227822.0,124981.0,98712.0,19718.0,55655.0,48174.0,40694.0,26775.0,63.1,74.8,72.6,61.5,80.6,62.8,92
ignas_b,2,46594.0,57819.0,228843.0,125013.0,99542.0,19717.0,55389.0,48361.0,40758.0,26810.0,63.1,75.2,73.0,61.5,80.6,62.8,92
ignas_b,3,46681.0,57839.0,228452.0,125084.0,99920.0,19781.0,55113.0,48389.0,40749.0,26797.0,63.1,75.3,73.2,61.5,80.0,62.8,92
ignas_b,4,46797.0,57782.0,228697.0,125381.0,100777.0,19811.0,55001.0,48547.0,40730.0,26897.0,63.1,75.8,73.6,61.4,80.0,62.8,92
ignas_b,5,46865.0,57829.0,228676.0,125461.0,101310.0,19818.0,54807.0,48742.0,40757.0,27012.0,63.2,76.1,73.9,61.4,88.7,63.8,92
ignas_b,6,46807.0,57877.0,229263.0,125567.0,101532.0,19788.0,54847.0,48742.0,40764.0,27112.0,63.2,76.3,74.0,61.4,88.7,63.8,92
ignas_b,7,46807.0,57868.0,228787.0,125428.0,101639.0,19796.0,54924.0,48714.0,40891.0,27284.0,63.3,76.4,74.1,61.4,88.7,63.8,92
ignas_b,8,46864.0,57839.0,228787.0,125184.0,100986.0,19796.0,54799.0,48500.0,40810.0,27204.0,63.1,75.9,73.7,61.4,88.5,63.1,92
ignas_b,9,46903.0,57829.0,229060.0,125287.0,100546.0,19796.0,54596.0,48584.0,40847.0,27318.0,63.1,75.8,73.6,61.4,80.0,62.8,92
ignas_b,10,46961.0,57819.0,228710.0,125455.0,100390.0,19773.0,54541.0,48500.0,40811.0,27132.0,63.1,75.7,73.5,61.4,80.0,62.8,92
ignas_b,11,46884.0,57897.0,228179.0,125184.0,99644.0,19744.0,55067.0,48276.0,40774.0,27176.0,63.1,75.4,73.1,61.5,80.6,62.8,92
ignas_b,12,46836.0,57840.0,227843.0,125010.0,100070.0,19730.0,55626.0,48062.0,40783.0,26918.0,63.1,75.4,73.1,61.5,80.6,62.8,92
ignas_b,13,46778.0,57877.0,228088.0,124536.0,99893.0,19744.0,56086.0,47959.0,40702.0,26803.0,63.1,75.2,73.0,61.5,80.6,62.8,92
ignas_b,14,46826.0,57877.0,228375.0,124710.0,100497.0,19773.0,56034.0,48238.0,40758.0,26766.0,63.1,75.6,73.3,61.5,80.0,62.8,92
ignas_b,15,46884.0,57915.0,229263.0,124798.0,101168.0,19781.0,55621.0,48407.0,40767.0,26766.0,63.2,75.9,73.7,61.4,88.7,63.8,92
ignas_b,16,47038.0,57944.0,229459.0,125325.0,101421.0,19767.0,55281.0,48612.0,40785.0,26866.0,63.2,76.3,73.9,61.4,88.7,63.8,92
ignas_b,17,47029.0,57954.0,229445.0,125334.0,101745.0,19767.0,55130.0,48650.0,40758.0,26824.0,63.2,76.4,74.0,61.4,88.7,63.8,92
ignas_b,18,47009.0,57916.0,229382.0,125210.0,100524.0,19753.0,55746.0,48668.0,40649.0,26818.0,63.1,75.9,73.6,61.4,80.0,62.8,92
ignas_b,19,46817.0,57926.0,229879.0,125131.0,100075.0,19768.0,55849.0,48584.0,40765.0,26805.0,63.1,75.7,73.4,61.5,80.0,62.8,92
ignas_b,20,46817.0,57897.0,228998.0,125201.0,100009.0,19791.0,55823.0,48425.0,40864.0,26927.0,63.1,75.6,73.3,61.5,80.0,62.8,92
ignas_b,21,46913.0,57954.0,229053.0,125184.0,100839.0,19820.0,55660.0,48351.0,40856.0,26984.0,63.2,76.0,73.6,61.4,80.0,63.1,92
ignas_b,22,46961.0,57906.0,229613.0,125322.0,101150.0,19848.0,55802.0,48462.0,40793.0,26998.0,63.3,76.2,73.8,61.4,88.7,63.8,92
ignas_b,23,47086.0,57906.0,230382.0,125437.0,100857.0,19841.0,55708.0,48612.0,40793.0,27126.0,63.2,76.2,73.8,61.4,88.4,63.1,92
ignas_b,24,47134.0,57897.0,229780.0,125587.0,100524.0,19834.0,55432.0,48705.0,40892.0,27319.0,63.1,76.2,73.8,61.4,80.0,62.8,92
ignas_b,25,47221.0,57963.0,228731.0,125458.0,100808.0,19812.0,55406.0,48658.0,40874.0,27341.0,63.2,76.3,73.8,61.4,80.0,63.1,92
ignas_b,26,47212.0,58012.0,228633.0,125449.0,100777.0,19812.0,55178.0,48556.0,40928.0,27212.0,63.1,76.2,73.7,61.4,80.0,62.8,92
ignas_b,27,47145.0,58041.0,229263.0,125440.0,100777.0,19770.0,55449.0,48398.0,40982.0,27091.0,63.1,76.1,73.7,61.4,80.0,62.8,92
ignas_b,28,47135.0,58070.0,229479.0,125463.0,99747.0,19791.0,55978.0,48193.0,40928.0,27126.0,63.1,75.8,73.3,61.5,80.6,62.8,92
ignas_b,29,47048.0,58060.0,229214.0,125452.0,99605.0,19841.0,56106.0,47885.0,40928.0,27176.0,63.1,75.6,73.1,61.5,80.6,62.8,92
ignas_b,30,47058.0,58031.0,229144.0,125434.0,99729.0,19884.0,55995.0,47969.0,40910.0,27169.0,63.1,75.7,73.2,61.5,80.6,62.8,92
ignas_b,31,46961.0,58040.0,229648.0,125428.0,99902.0,19898.0,55672.0,48034.0,40946.0,27212.0,63.1,75.7,73.3,61.5,80.6,62.8,92
ignas_b,32,47038.0,58040.0,229550.0,125484.0,100319.0,19827.0,56219.0,48323.0,40955.0,27147.0,63.1,76.1,73.5,61.4,80.0,62.8,92
ignas_b,33,47125.0,58088.0,228927.0,125257.0,100013.0,19870.0,55875.0,48481.0,40902.0,27326.0,63.1,76.0,73.5,61.5,80.0,62.8,92
ignas_b,34,47183.0,58012.0,229354.0,125431.0,100563.0,19877.0,55612.0,48686.0,41065.0,27485.0,63.1,76.3,73.8,61.4,80.0,62.8,92
ignas_b,35,47230.0,58021.0,229885.0,125516.0,100182.0,19905.0,55319.0,48761.0,41047.0,27621.0,63.1,76.2,73.8,61.4,80.0,62.8,92
ignas_b,36,47163.0,58050.0,229298.0,125761.0,100968.0,19898.0,55444.0,48705.0,41138.0,27506.0,63.2,76.6,74.0,61.4,88.4,63.2,92
ignas_b,37,47173.0,58088.0,229312.0,125463.0,101843.0,19877.0,55267.0,48808.0,41138.0,27441.0,63.3,76.8,74.3,61.4,88.7,63.8,92
ignas_b,38,47183.0,58155.0,229256.0,125499.0,102628.0,19898.0,54910.0,48845.0,41111.0,27485.0,63.3,77.1,74.7,61.4,88.7,63.8,92
ignas_b,39,47135.0,58137.0,229375.0,125734.0,102215.0,19912.0,54936.0,48817.0,41118.0,27499.0,63.3,77.0,74.5,61.4,88.7,63.8,92
ignas_b,40,47135.0,58088.0,229011.0,125893.0,101229.0,19927.0,55307.0,48603.0,41027.0,27429.0,63.3,76.6,74.0,61.4,88.7,63.8,92
ignas_b,41,47212.0,58060.0,229172.0,125902.0,100461.0,19954.0,55355.0,48490.0,41090.0,27372.0,63.1,76.3,73.7,92.9,79.9,62.8,92
ignas_b,42,47232.0,58051.0,229410.0,125684.0,100702.0,19953.0,55578.0,48397.0,41081.0,27379.0,63.1,76.3,73.8,61.4,80.0,62.8,92
ignas_b,43,47232.0,58070.0,229116.0,125658.0,101323.0,19974.0,55324.0,48500.0,41081.0,27413.0,63.3,76.6,74.0,61.4,88.7,63.8,92
ignas_b,44,47039.0,58109.0,229774.0,125770.0,101909.0,19975.0,55375.0,48594.0,41081.0,27426.0,63.3,76.8,74.3,61.4,88.7,63.8,92
ignas_b,45,47165.0,58147.0,230123.0,125758.0,101501.0,19955.0,55523.0,48724.0,41090.0,27492.0,63.3,76.8,74.3,61.4,88.7,63.8,92
ignas_b,46,47252.0,58205.0,229753.0,125714.0,101017.0,19934.0,55846.0,48724.0,41045.0,27557.0,63.2,76.7,74.1,61.4,88.5,63.2,92
ignas_b,47,47223.0,58098.0,229312.0,125584.0,100595.0,19875.0,56065.0,48733.0,41063.0,27536.0,63.1,76.5,73.9,61.4,80.0,62.8,92
ignas_b,48,47241.0,58098.0,229844.0,125902.0,101265.0,19911.0,55871.0,48491.0,41054.0,27570.0,63.3,76.8,74.1,92.9,88.7,63.8,92
ignas_b,49,47231.0,58079.0,229767.0,126014.0,101194.0,19918.0,55626.0,48444.0,41171.0,27526.0,63.3,76.7,74.1,92.9,88.7,63.8,92
ignas_b,50,47279.0,58108.0,229963.0,125779.0,101131.0,19954.0,55849.0,48389.0,41154.0,27577.0,63.3,76.7,74.0,61.4,88.7,63.8,92
