person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
mourad_b,1,45714.0,27516.0,221249.0,130173.0,121207.0,43701.0,63300.0,45116.0,43788.0,21309.0,75.0,74.1,70.1,93.7,97.5,73.1,90
mourad_b,2,45724.0,27630.0,221298.0,130391.0,121371.0,43694.0,63357.0,45125.0,43770.0,21287.0,75.0,74.2,70.2,93.7,97.5,73.1,90
mourad_b,3,45743.0,27611.0,221235.0,130471.0,121536.0,43701.0,63434.0,45181.0,43805.0,21287.0,75.0,74.3,70.3,93.7,97.5,73.1,90
mourad_b,4,45830.0,27640.0,221214.0,130592.0,121727.0,43751.0,63448.0,45172.0,43770.0,21280.0,75.0,74.5,70.4,93.8,97.5,73.0,90
mourad_b,5,45801.0,27593.0,221201.0,130503.0,121736.0,43843.0,63460.0,45209.0,43797.0,21295.0,75.0,74.5,70.4,93.8,97.5,73.0,90
mourad_b,6,45840.0,27652.0,221249.0,130565.0,121757.0,43910.0,63443.0,45200.0,43779.0,21309.0,75.0,74.5,70.4,93.8,97.5,72.8,90
mourad_b,7,45850.0,27634.0,221375.0,130583.0,121735.0,43896.0,63480.0,45200.0,43797.0,21316.0,75.0,74.5,70.4,93.8,97.4,72.8,90
mourad_b,8,45879.0,27653.0,221333.0,130697.0,121682.0,43846.0,63486.0,45228.0,43835.0,21323.0,74.8,74.6,70.4,93.6,97.4,72.8,90
mourad_b,9,45849.0,27537.0,221355.0,130577.0,121628.0,43860.0,63511.0,45200.0,43890.0,21344.0,74.9,74.5,70.3,93.8,97.4,73.0,90
mourad_b,10,45811.0,27545.0,221341.0,130612.0,121695.0,43931.0,63517.0,45134.0,43853.0,21337.0,75.0,74.5,70.3,93.8,97.5,73.0,90
mourad_b,11,45763.0,27525.0,221445.0,130594.0,121735.0,44024.0,63465.0,45162.0,43887.0,21373.0,74.8,74.5,70.4,93.7,97.2,72.8,90
mourad_b,12,45812.0,27535.0,221494.0,130550.0,121690.0,44009.0,63457.0,45181.0,43833.0,21402.0,75.0,74.5,70.4,93.8,97.2,73.2,90
mourad_b,13,45743.0,27525.0,221473.0,130568.0,121544.0,43931.0,63499.0,45321.0,43897.0,21431.0,74.9,74.5,70.4,93.7,97.5,72.9,90
mourad_b,14,45830.0,27545.0,221599.0,130506.0,121549.0,43903.0,63546.0,45321.0,43879.0,21439.0,74.9,74.5,70.4,93.8,97.5,73.1,90
mourad_b,15,45849.0,27651.0,221599.0,130627.0,121699.0,43981.0,63606.0,45330.0,43914.0,21424.0,74.9,74.7,70.5,93.8,97.4,73.0,90
mourad_b,16,45888.0,27642.0,221585.0,130480.0,121837.0,44116.0,63575.0,45321.0,43930.0,21417.0,74.6,74.7,70.5,93.6,97.1,72.8,90
mourad_b,17,45897.0,27612.0,221466.0,130456.0,121673.0,44173.0,63589.0,45312.0,43930.0,21373.0,74.6,74.6,70.4,93.6,97.1,73.0,90
mourad_b,18,45859.0,27574.0,221480.0,130377.0,121669.0,44119.0,63611.0,45340.0,43930.0,21359.0,74.8,74.6,70.4,93.8,97.1,73.1,90
mourad_b,19,45850.0,27583.0,221466.0,130447.0,121651.0,44005.0,63645.0,45349.0,43921.0,21359.0,74.9,74.6,70.4,93.8,97.1,73.1,90
mourad_b,20,45850.0,27642.0,221536.0,130480.0,121833.0,44093.0,63628.0,45321.0,43921.0,21381.0,74.8,74.7,70.5,93.8,97.1,73.0,90
mourad_b,21,45878.0,27642.0,221494.0,130518.0,121837.0,44069.0,63649.0,45311.0,43930.0,21374.0,74.6,74.7,70.5,93.6,97.1,72.8,90
mourad_b,22,45946.0,27632.0,221529.0,130506.0,121881.0,44047.0,63631.0,45274.0,43966.0,21388.0,74.6,74.7,70.5,93.6,97.1,72.8,90
mourad_b,23,45937.0,27651.0,221452.0,130586.0,121823.0,43874.0,63686.0,45303.0,44022.0,21395.0,74.7,74.7,70.5,93.6,97.4,72.6,90
mourad_b,24,45937.0,27671.0,221550.0,130689.0,121873.0,43959.0,63592.0,45293.0,44050.0,21416.0,74.9,74.8,70.5,94.9,97.5,72.8,90
mourad_b,25,45917.0,27710.0,221571.0,130698.0,121908.0,43981.0,63605.0,45349.0,43989.0,21417.0,74.7,74.8,70.6,93.6,97.5,72.6,90
mourad_b,26,45898.0,27708.0,221648.0,130792.0,122002.0,44069.0,63576.0,45396.0,43978.0,21424.0,74.8,74.9,70.6,94.9,97.2,72.8,90
mourad_b,27,45965.0,27679.0,221613.0,130706.0,122019.0,44019.0,63625.0,45321.0,43995.0,21446.0,74.8,74.9,70.6,94.9,97.2,72.8,90
mourad_b,28,45946.0,27679.0,221634.0,130715.0,121846.0,44104.0,63728.0,45312.0,44013.0,21431.0,74.9,74.8,70.5,94.9,97.1,72.8,90
mourad_b,29,45946.0,27642.0,221578.0,130638.0,121753.0,44024.0,63779.0,45311.0,44023.0,21395.0,74.6,74.7,70.5,93.6,97.1,72.6,90
mourad_b,30,45966.0,27671.0,221627.0,130683.0,121562.0,44040.0,63779.0,45256.0,43987.0,21373.0,74.9,74.7,70.4,94.9,97.1,72.9,90
mourad_b,31,46013.0,27671.0,221648.0,130709.0,121691.0,44050.0,63788.0,45284.0,44040.0,21373.0,74.9,74.8,70.5,94.9,97.1,72.9,90
mourad_b,32,46053.0,27603.0,221690.0,130527.0,121678.0,44202.0,63779.0,45210.0,44048.0,21410.0,74.9,74.7,70.4,94.9,97.1,73.1,90
mourad_b,33,46053.0,27613.0,221683.0,130533.0,121718.0,44220.0,63822.0,45331.0,44077.0,21395.0,74.9,74.8,70.5,94.9,97.1,73.1,90
mourad_b,34,46024.0,27622.0,221683.0,130559.0,121686.0,44147.0,63796.0,45378.0,44070.0,21431.0,74.9,74.8,70.5,94.9,97.1,73.1,90
mourad_b,35,46024.0,27632.0,221697.0,130697.0,121628.0,44073.0,63851.0,45387.0,44077.0,21473.0,74.9,74.8,70.5,94.9,97.1,72.9,90
