person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
mourad_c,1,46140.0,25425.0,217869.0,130303.0,121991.0,50877.0,62245.0,45340.0,43139.0,20686.0,74.6,73.9,69.3,94.2,97.0,94.8,90
mourad_c,2,46044.0,25417.0,217897.0,130415.0,121934.0,50839.0,62228.0,45228.0,43132.0,20685.0,74.6,73.8,69.3,94.2,97.0,94.8,90
mourad_c,3,46064.0,25407.0,217883.0,130397.0,121672.0,50846.0,62211.0,45210.0,43114.0,20693.0,74.6,73.7,69.2,94.2,97.0,94.9,90
mourad_c,4,46102.0,25477.0,217792.0,130388.0,121791.0,50860.0,62285.0,45257.0,43132.0,20651.0,74.6,73.8,69.2,94.2,97.0,94.8,90
mourad_c,5,46093.0,25485.0,217862.0,130492.0,121977.0,50899.0,62299.0,45406.0,43177.0,20622.0,74.6,74.0,69.4,94.2,97.0,94.8,90
mourad_c,6,46102.0,25487.0,217820.0,130509.0,122057.0,50931.0,62342.0,45359.0,43186.0,20651.0,74.6,74.0,69.4,94.2,97.0,94.8,90
mourad_c,7,46025.0,25487.0,217883.0,130474.0,122141.0,50931.0,62333.0,45387.0,43149.0,20643.0,74.6,74.0,69.4,94.2,97.0,94.8,90
mourad_c,8,46044.0,25469.0,217876.0,130450.0,122168.0,50938.0,62367.0,45424.0,43156.0,20657.0,74.6,74.0,69.4,94.2,97.0,94.8,90
mourad_c,9,46083.0,25487.0,218016.0,130450.0,122359.0,50955.0,62350.0,45480.0,43145.0,20642.0,74.6,74.1,69.5,94.2,97.0,94.8,90
mourad_c,10,46131.0,25466.0,218030.0,130565.0,122394.0,50977.0,62410.0,45489.0,43192.0,20671.0,74.7,74.2,69.6,94.2,97.0,94.8,90
mourad_c,11,46180.0,25454.0,218009.0,130556.0,122221.0,50984.0,62422.0,45443.0,43193.0,20656.0,74.6,74.1,69.5,94.2,97.0,94.8,90
mourad_c,12,46199.0,25454.0,217925.0,130677.0,122030.0,50977.0,62453.0,45406.0,43195.0,20628.0,74.6,74.1,69.4,94.2,97.0,94.8,90
mourad_c,13,46170.0,25454.0,217981.0,130615.0,121977.0,50970.0,62384.0,45294.0,43248.0,20599.0,74.6,74.0,69.3,94.2,97.0,94.8,90
mourad_c,14,46209.0,25456.0,218023.0,130648.0,121959.0,51012.0,62441.0,45247.0,43193.0,20620.0,74.6,74.0,69.3,94.2,97.0,94.8,90
mourad_c,15,46141.0,25495.0,218051.0,130580.0,122070.0,51019.0,62444.0,45341.0,43191.0,20649.0,74.6,74.1,69.4,94.2,97.0,94.8,90
mourad_c,16,46198.0,25504.0,218072.0,130651.0,122106.0,51040.0,62496.0,45443.0,43200.0,20706.0,74.7,74.2,69.5,94.2,97.0,94.8,90
mourad_c,17,46169.0,25580.0,218100.0,130697.0,122186.0,51033.0,62453.0,45443.0,43209.0,20706.0,74.7,74.2,69.5,94.2,97.0,94.8,90
mourad_c,18,46169.0,25551.0,218113.0,130741.0,122128.0,51047.0,62441.0,45443.0,43256.0,20707.0,74.7,74.2,69.5,94.2,97.0,94.8,90
mourad_c,19,46189.0,25563.0,218057.0,130694.0,121777.0,51019.0,62373.0,45461.0,43200.0,20694.0,74.6,74.1,69.4,94.2,97.0,94.8,90
