person_id,frame_idx,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pred_LightGBM,pred_SVR,pred_SVR_lt100,pred_lightgbm_best_fold,pred_light_lt100,pred_light_NB,weight_gt
rayen_b,1,41992.0,31507.0,229759.0,104864.0,95234.0,17623.0,45297.0,42954.0,25942.0,17738.0,61.0,53.5,58.7,60.0,57.5,66.2,73
rayen_b,2,42040.0,31546.0,229648.0,104806.0,95624.0,17614.0,45258.0,43009.0,25914.0,17738.0,61.0,53.6,58.9,60.0,57.5,66.2,73
rayen_b,3,42022.0,31672.0,229739.0,104823.0,95695.0,17636.0,45271.0,43149.0,25904.0,17724.0,61.0,53.7,59.0,60.0,57.5,66.2,73
rayen_b,4,42079.0,31660.0,229774.0,104929.0,95913.0,17622.0,45267.0,42915.0,25867.0,17687.0,61.0,53.7,59.0,60.0,57.5,66.2,73
rayen_b,5,42079.0,31641.0,229906.0,105023.0,95508.0,17616.0,45215.0,43568.0,25868.0,17695.0,61.0,53.8,59.0,60.0,57.5,66.2,73
rayen_b,6,42078.0,31592.0,229760.0,105090.0,95690.0,17601.0,45236.0,43903.0,25850.0,17688.0,61.0,54.0,59.2,60.2,57.5,66.2,73
rayen_b,7,42068.0,31573.0,229830.0,104775.0,96023.0,17587.0,45206.0,44687.0,25914.0,17695.0,61.0,54.2,59.6,60.2,57.5,66.2,73
rayen_b,8,42087.0,31553.0,229760.0,104811.0,96765.0,17609.0,45223.0,44725.0,25941.0,17680.0,61.0,54.5,59.8,60.2,57.5,66.2,73
rayen_b,9,42040.0,31544.0,229864.0,104682.0,96583.0,17616.0,45228.0,44417.0,26022.0,17709.0,61.0,54.3,59.7,60.4,58.7,66.2,73
rayen_b,10,42080.0,31575.0,229850.0,104899.0,96202.0,17644.0,45305.0,44156.0,25958.0,17738.0,61.0,54.2,59.5,60.2,57.5,66.2,73
rayen_b,11,42022.0,31651.0,229829.0,104970.0,95820.0,17644.0,45383.0,43634.0,25940.0,17731.0,61.1,53.9,59.2,60.2,57.5,66.2,73
rayen_b,12,42088.0,31658.0,229732.0,105073.0,96180.0,17644.0,45374.0,43979.0,25941.0,17696.0,61.0,54.2,59.4,60.2,57.5,66.2,73
rayen_b,13,42087.0,31724.0,229711.0,105082.0,96690.0,17644.0,45322.0,43830.0,25924.0,17702.0,61.0,54.3,59.6,60.2,57.5,66.2,73
rayen_b,14,42078.0,31687.0,229655.0,105002.0,97014.0,17658.0,45344.0,44165.0,25923.0,17673.0,61.0,54.5,59.8,60.2,57.5,66.2,73
rayen_b,15,42136.0,31687.0,229752.0,105028.0,96916.0,17666.0,45327.0,43605.0,25877.0,17702.0,61.1,54.3,59.6,60.2,57.5,66.2,73
